date,product,region,sales_rep,quantity,unit_price,discount,total_amount
2023-01-01,Camera,East,Carol,19,1243.75,0.0,23631.25
2023-01-01,Headphones,West,Henry,16,1110.66,0.0,17770.56
2023-01-01,Phone,South,Emma,10,938.55,0.05,8916.225
2023-01-01,Tablet,North,Grace,4,107.12,0.1,385.632
2023-01-01,Phone,South,Carol,17,320.63,0.2,4360.568
2023-01-01,Phone,North,Carol,13,1165.7,0.05,14396.395
2023-01-02,Laptop,South,David,7,646.23,0.2,3618.888000000001
2023-01-02,Laptop,North,Frank,13,1018.25,0.0,13237.25
2023-01-02,Smartwatch,East,Henry,11,862.98,0.15,8068.863
2023-01-03,Camera,West,Alice,15,90.39,0.05,1288.0575
2023-01-04,Smartwatch,West,Bob,11,1082.6,0.05,11313.169999999998
2023-01-04,Laptop,West,Carol,10,936.62,0.15,7961.27
2023-01-04,Phone,South,Grace,13,687.62,0.15,7598.200999999999
2023-01-04,Camera,South,Alice,7,693.95,0.1,4371.885
2023-01-05,Tablet,South,Carol,5,1244.15,0.2,4976.6
2023-01-05,Tablet,South,Grace,10,303.93,0.05,2887.335
2023-01-05,Tablet,North,Henry,17,1485.98,0.0,25261.66
2023-01-05,Camera,West,David,17,296.33,0.1,4533.849
2023-01-05,Headphones,West,Bob,6,528.91,0.2,2538.768
2023-01-06,Tablet,South,David,5,506.63,0.05,2406.4925
2023-01-06,Camera,West,Frank,19,74.06,0.1,1266.4260000000002
2023-01-06,Laptop,South,Emma,19,1027.29,0.1,17566.659
2023-01-06,Camera,East,Emma,5,1014.33,0.05,4818.0675
2023-01-07,Phone,East,Alice,15,424.96,0.0,6374.4
2023-01-07,Camera,East,Frank,12,126.51,0.0,1518.1200000000001
2023-01-08,Headphones,West,David,9,167.78,0.1,1359.018
2023-01-08,Phone,South,Alice,16,820.38,0.05,12469.776
2023-01-08,Camera,North,Carol,17,378.1,0.0,6427.700000000001
2023-01-09,Camera,West,Carol,19,1495.91,0.15,24158.946500000002
2023-01-09,Tablet,East,Grace,4,1064.48,0.15,3619.232
2023-01-09,Tablet,West,Alice,5,1456.1,0.05,6916.474999999999
2023-01-10,Laptop,East,Alice,17,1023.09,0.15,14783.650499999998
2023-01-10,Laptop,North,Bob,11,145.94,0.2,1284.272
2023-01-12,Phone,East,David,19,73.49,0.05,1326.4944999999998
2023-01-12,Laptop,West,Frank,9,1404.74,0.05,12010.527
2023-01-12,Headphones,East,Carol,3,1406.45,0.05,4008.3825
2023-01-13,Headphones,West,Henry,13,475.36,0.15,5252.728
2023-01-13,Phone,North,Bob,12,574.04,0.2,5510.784
2023-01-13,Laptop,West,Bob,6,161.61,0.2,775.7280000000001
2023-01-13,Camera,East,Frank,5,673.44,0.2,2693.76
2023-01-14,Tablet,North,Henry,5,538.95,0.0,2694.75
2023-01-14,Camera,North,David,8,385.5,0.2,2467.2000000000003
2023-01-14,Phone,South,Frank,17,115.25,0.0,1959.25
2023-01-14,Laptop,East,Alice,8,724.74,0.05,5508.023999999999
2023-01-15,Tablet,South,Grace,13,915.88,0.05,11311.118
2023-01-15,Smartwatch,North,Alice,9,990.06,0.2,7128.432
2023-01-15,Phone,West,Alice,11,123.1,0.0,1354.1
2023-01-16,Camera,East,Bob,14,1033.82,0.2,11578.784
2023-01-17,Laptop,North,David,11,484.11,0.05,5058.9495
2023-01-18,Phone,South,Emma,7,446.78,0.1,2814.714
2023-01-19,Laptop,West,David,13,842.71,0.15,9311.9455
2023-01-19,Smartwatch,East,Carol,4,820.78,0.0,3283.12
2023-01-20,Headphones,East,Alice,11,1155.55,0.1,11439.945
2023-01-20,Tablet,West,Henry,15,657.82,0.2,7893.840000000001
2023-01-20,Laptop,North,David,10,1315.65,0.2,10525.2
2023-01-21,Headphones,North,David,11,1312.26,0.15,12269.631
2023-01-21,Smartwatch,South,Henry,1,282.53,0.15,240.15049999999997
